student_id,term_name,program_id,program_name,school,class_level,student_profile,continuing_student_flag,hold_status,active_hold_flag,hold_type,registration_status,credits_completed,expected_credits,upper_division_completed,expected_upper_division,required_completion_ratio,osu_gpa,residence_met_flag,core_met_flag,world_language_met_flag,professional_progression_met_flag,audit_status,audit_reason,audit_issue_group,graduation_stage,eligible_flag,applied_flag,award_ready_flag,queue_name,queue_priority,urgency,issue_summary,recommended_action
REG-00001,2026 Winter,ELED,Elementary Education,Education,Junior,steady,1,No Hold,0,None,registered,131,132,21,34,0.707,3.36,1,1,0,1,off_track,Upper-division progress materially behind,Upper Division,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Upper-division progress materially behind,Review audit exceptions and create a term-by-term completion plan.
REG-00002,2026 Winter,ELED,Elementary Education,Education,Sophomore,steady,1,No Hold,0,None,registered,88,84,4,9,0.475,2.86,1,0,1,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00003,2026 Winter,ELED,Elementary Education,Education,Senior,steady,1,No Hold,0,None,registered,173,174,62,60,0.88,3.31,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00004,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,Active Hold,1,Academic,blocked,168,174,79,60,0.945,3.01,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Hold Resolution,1,High,Academic hold blocking registration,Schedule advisor review and clear the academic hold.
REG-00005,2026 Winter,ELED,Elementary Education,Education,Sophomore,strong,1,No Hold,0,None,registered,84,84,24,9,0.537,3.3,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00006,2026 Winter,ELED,Elementary Education,Education,Senior,strong,1,Active Hold,1,Administrative,blocked,196,174,75,60,1.0,3.61,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,ready_to_award,1,1,1,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00007,2026 Winter,BANA,Business Analytics,Business,Freshman,strong,0,No Hold,0,None,registered,37,36,8,0,0.294,3.5,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00008,2026 Winter,SEED,Secondary Education,Education,Senior,steady,1,No Hold,0,None,registered,166,174,60,60,0.946,3.51,0,1,1,1,off_track,Residence requirement incomplete,Residence,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Residence requirement incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00009,2026 Winter,ELED,Elementary Education,Education,Junior,steady,1,Active Hold,1,Academic,blocked,150,132,41,34,0.804,3.25,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Academic hold blocking registration,Schedule advisor review and clear the academic hold.
REG-00010,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,No Hold,0,None,registered,180,174,70,60,0.913,3.18,1,1,0,1,off_track,World language requirement incomplete,World Language,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,World language requirement incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00011,2026 Winter,BANA,Business Analytics,Business,Freshman,steady,0,No Hold,0,None,registered,37,36,0,0,0.328,2.87,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00012,2026 Winter,BUAD,Business Administration,Business,Senior,steady,1,No Hold,0,None,registered,170,174,55,60,0.994,3.18,0,1,1,1,off_track,Residence requirement incomplete,Residence,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Residence requirement incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00013,2026 Winter,BUAD,Business Administration,Business,Freshman,strong,0,No Hold,0,None,registered,44,36,10,0,0.233,3.21,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00014,2026 Winter,BUAD,Business Administration,Business,Freshman,steady,0,Active Hold,1,Financial,blocked,32,36,1,0,0.176,2.84,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Financial hold blocking registration,Resolve balance or payment-plan issue before registration release.
REG-00015,2026 Winter,SEED,Secondary Education,Education,Freshman,risk,0,No Hold,0,None,registered,20,36,0,0,0.08,2.59,1,1,0,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00016,2026 Winter,ELED,Elementary Education,Education,Sophomore,risk,1,No Hold,0,None,registered,74,84,0,9,0.426,2.94,1,0,0,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00017,2026 Winter,SEED,Secondary Education,Education,Senior,steady,1,Active Hold,1,Academic,blocked,173,174,71,60,0.998,2.81,0,1,1,1,off_track,GPA below 3.0 program floor,GPA,not_eligible,0,0,0,Hold Resolution,1,High,Academic hold blocking registration,Schedule advisor review and clear the academic hold.
REG-00018,2026 Winter,SEED,Secondary Education,Education,Sophomore,steady,1,Active Hold,1,Financial,blocked,73,84,14,9,0.46,3.07,1,1,1,1,near_risk,GPA near program floor,GPA,not_in_window,0,0,0,Hold Resolution,1,High,Financial hold blocking registration,Resolve balance or payment-plan issue before registration release.
REG-00019,2026 Winter,BANA,Business Analytics,Business,Sophomore,strong,1,No Hold,0,None,not_registered,89,84,21,9,0.449,3.29,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00020,2026 Winter,SEED,Secondary Education,Education,Senior,risk,1,No Hold,0,None,not_registered,160,174,51,60,0.853,2.5,1,1,1,1,off_track,GPA below 3.0 program floor,GPA,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00021,2026 Winter,ELED,Elementary Education,Education,Freshman,steady,0,No Hold,0,None,registered,35,36,0,0,0.309,3.12,1,1,1,1,near_risk,GPA near program floor,GPA,not_in_window,0,0,0,Watchlist,3,Medium,GPA near program floor,Monitor progress and confirm the next registration plan before census.
REG-00022,2026 Winter,BANA,Business Analytics,Business,Sophomore,strong,1,No Hold,0,None,registered,91,84,11,9,0.448,3.7,1,0,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00023,2026 Winter,BUAD,Business Administration,Business,Senior,strong,1,No Hold,0,None,registered,174,174,65,60,0.999,3.45,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00024,2026 Winter,SEED,Secondary Education,Education,Freshman,strong,0,No Hold,0,None,registered,47,36,0,0,0.383,3.45,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00025,2026 Winter,BUAD,Business Administration,Business,Sophomore,steady,1,No Hold,0,None,registered,68,84,3,9,0.518,3.18,1,1,0,1,off_track,Credit pace significantly behind term expectation,Credits,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Credit pace significantly behind term expectation,Review audit exceptions and create a term-by-term completion plan.
REG-00026,2026 Winter,BUAD,Business Administration,Business,Senior,steady,1,No Hold,0,None,registered,167,174,62,60,0.937,3.53,0,1,1,1,off_track,Residence requirement incomplete,Residence,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Residence requirement incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00027,2026 Winter,ELED,Elementary Education,Education,Sophomore,strong,1,No Hold,0,None,not_registered,93,84,17,9,0.528,3.91,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00028,2026 Winter,BANA,Business Analytics,Business,Sophomore,strong,1,No Hold,0,None,registered,91,84,13,9,0.633,3.24,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00029,2026 Winter,SEED,Secondary Education,Education,Sophomore,steady,1,Active Hold,1,Financial,blocked,105,84,18,9,0.383,3.15,1,0,1,1,near_risk,GPA near program floor,GPA,not_in_window,0,0,0,Hold Resolution,1,High,Financial hold blocking registration,Resolve balance or payment-plan issue before registration release.
REG-00030,2026 Winter,BUAD,Business Administration,Business,Sophomore,strong,1,No Hold,0,None,registered,88,84,24,9,0.584,3.6,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00031,2026 Winter,BUAD,Business Administration,Business,Sophomore,strong,1,Active Hold,1,Financial,registered,82,84,5,9,0.645,3.14,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
